authority_code,authority_name,tier,tier_label,region,election_year,fi_value,n_parties,turnout_pct,is_whole_council,n_wards_observed
E08000019,Sheffield,1,Metropolitan Borough,Yorkshire and The Humber,2018,3.6796141808374547,10,30.801885657935877,False,28
E08000019,Sheffield,1,Metropolitan Borough,Yorkshire and The Humber,2022,1.661835342142642,12,31.387773290575876,True,42
E08000021,Newcastle upon Tyne,1,Metropolitan Borough,North East,2014,3.5093567565651687,10,32.81852785350548,False,25
E08000021,Newcastle upon Tyne,1,Metropolitan Borough,North East,2015,3.5813656113641046,8,62.18315225059969,False,25
E08000021,Newcastle upon Tyne,1,Metropolitan Borough,North East,2016,3.574400841198384,9,40.16123827370876,False,25
E08000021,Newcastle upon Tyne,1,Metropolitan Borough,North East,2018,3.156895209185588,9,14.083809942806862,False,26
E08000021,Newcastle upon Tyne,1,Metropolitan Borough,North East,2022,3.812752599424812,11,37.79989561904762,True,38
E08000022,North Tyneside,1,Metropolitan Borough,North East,2014,3.0359571805862853,7,34.91236380862151,False,20
E08000022,North Tyneside,1,Metropolitan Borough,North East,2015,2.7102975842971113,7,63.70854052391449,False,20
E08000022,North Tyneside,1,Metropolitan Borough,North East,2016,2.680601749023965,7,37.12861520655505,False,20
E08000022,North Tyneside,1,Metropolitan Borough,North East,2018,2.339081262304784,7,35.3618943316506,False,20
E08000022,North Tyneside,1,Metropolitan Borough,North East,2022,3.145321244651793,7,38.87229927471689,True,27
E08000023,South Tyneside,1,Metropolitan Borough,North East,2014,2.786356414940649,7,34.15418726373946,False,17
E08000023,South Tyneside,1,Metropolitan Borough,North East,2015,2.7015555507465177,5,58.209718670076725,False,17
E08000023,South Tyneside,1,Metropolitan Borough,North East,2016,2.70987577827945,6,33.49606356479209,False,17
E08000023,South Tyneside,1,Metropolitan Borough,North East,2018,2.490583883410737,5,32.814556014338216,False,17
E08000023,South Tyneside,1,Metropolitan Borough,North East,2022,2.994198749171274,8,33.42605211242046,True,24
E08000024,Sunderland,1,Metropolitan Borough,North East,2014,3.177389035812823,7,32.48594669049214,False,25
E08000024,Sunderland,1,Metropolitan Borough,North East,2015,3.030120353350344,8,55.33909742523451,False,25
E08000024,Sunderland,1,Metropolitan Borough,North East,2016,2.782769733740889,8,32.18428614274243,False,25
E08000024,Sunderland,1,Metropolitan Borough,North East,2018,3.0991605494749366,9,33.37974530018193,False,25
E08000024,Sunderland,1,Metropolitan Borough,North East,2022,2.976588923170528,9,33.2963091005395,True,36
E08000025,Birmingham,1,Metropolitan Borough,West Midlands,2014,3.519522355746798,11,31.431284143163754,False,40
E08000025,Birmingham,1,Metropolitan Borough,West Midlands,2015,3.2316683207406975,11,57.6477360675804,False,40
E08000025,Birmingham,1,Metropolitan Borough,West Midlands,2016,3.0116583941582538,11,31.64424803516153,False,40
E08000025,Birmingham,1,Metropolitan Borough,West Midlands,2018,2.638108171257293,11,22.429639849673013,False,69
E08000025,Birmingham,1,Metropolitan Borough,West Midlands,2022,2.587812459603024,11,26.483787521195854,True,111
E08000026,Coventry,1,Metropolitan Borough,West Midlands,2014,3.4829356489314587,8,29.371443241624235,False,18
E08000026,Coventry,1,Metropolitan Borough,West Midlands,2015,3.28828466602959,7,59.11719224242209,False,18
E08000026,Coventry,1,Metropolitan Borough,West Midlands,2016,2.9938718339253643,7,29.04616190063547,False,18
E08000026,Coventry,1,Metropolitan Borough,West Midlands,2018,2.5409434007316922,7,27.41021286576123,False,18
E08000026,Coventry,1,Metropolitan Borough,West Midlands,2022,2.518721170018741,9,33.52544702345445,True,29
E08000027,Dudley,1,Metropolitan Borough,West Midlands,2014,3.381154853488032,6,35.36626812604573,False,24
E08000027,Dudley,1,Metropolitan Borough,West Midlands,2015,3.220836131668002,6,64.75812992177485,False,24
E08000027,Dudley,1,Metropolitan Borough,West Midlands,2016,3.175914796349834,7,29.71943133701543,False,24
E08000027,Dudley,1,Metropolitan Borough,West Midlands,2018,2.548118313472775,6,30.29411638033137,False,24
E08000027,Dudley,1,Metropolitan Borough,West Midlands,2022,2.679763127774911,8,31.408678929924687,True,35
E08000028,Sandwell,1,Metropolitan Borough,West Midlands,2014,2.429359542331747,6,30.631106301463113,False,24
E08000028,Sandwell,1,Metropolitan Borough,West Midlands,2015,2.6480787416360063,6,56.13283856085745,False,24
E08000028,Sandwell,1,Metropolitan Borough,West Midlands,2016,2.0251132323492635,5,27.340964701566982,False,24
E08000028,Sandwell,1,Metropolitan Borough,West Midlands,2018,1.9025935036699169,8,24.249253430790784,False,24
E08000028,Sandwell,1,Metropolitan Borough,West Midlands,2022,1.937274525085832,9,26.651431962077332,True,34
E08000029,Solihull,1,Metropolitan Borough,West Midlands,2014,4.238438266388574,6,33.623315289098244,False,17
E08000029,Solihull,1,Metropolitan Borough,West Midlands,2015,3.125419700011001,5,67.55672542741803,False,17
E08000029,Solihull,1,Metropolitan Borough,West Midlands,2016,3.31424432044162,7,32.26618148033447,False,17
E08000029,Solihull,1,Metropolitan Borough,West Midlands,2018,2.9692975906251853,5,31.50846863976383,False,17
