scenario_id,authority_code,metric,event_type,detail
S3,E09000017,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S4,E09000017,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S0,E09000018,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E09000018,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S1,E09000018,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S2,E09000018,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S3,E09000018,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S4,E09000018,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S0,E09000019,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E09000019,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S1,E09000019,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S2,E09000019,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S3,E09000019,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S4,E09000019,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S0,E09000020,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E09000020,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S1,E09000020,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S2,E09000020,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S3,E09000020,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S4,E09000020,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S0,E09000021,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E09000021,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S1,E09000021,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S2,E09000021,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S3,E09000021,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S4,E09000021,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S0,E09000022,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E09000022,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S1,E09000022,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
