scenario_id,authority_code,authority_name,tier,election_active_2026,metric,P10,P50,P90,notes,point_estimate
S1,E08000004,Oldham,1,True,turnout_delta,-13.069386666666666,-1.608686666666666,8.044413333333335,,0.0
S1,E08000004,Oldham,1,True,volatility_score,-12.42947965599018,-0.7093646559901821,19.547316344009822,,2.0641058106764856
S2,E08000004,Oldham,1,True,delta_fi,-1.018248266666667,0.03308073333333297,0.880183733333333,,-4.440892098500626e-16
S2,E08000004,Oldham,1,True,swing_concentration,8.054352333333334,9.516760333333332,10.883925333333334,,9.6
S2,E08000004,Oldham,1,True,turnout_delta,-13.069386666666666,-1.608686666666666,8.044413333333335,,0.0
S2,E08000004,Oldham,1,True,volatility_score,-13.74346446666667,-2.7734704666666667,16.29055053333333,,8.881784197001252e-16
S3,E08000004,Oldham,1,True,delta_fi,-0.7638766090790308,0.2874523909209692,1.208952390920969,,0.2543716575876358
S3,E08000004,Oldham,1,True,swing_concentration,4.454352333333332,5.916760333333332,7.283925333333332,,5.999999999999998
S3,E08000004,Oldham,1,True,turnout_delta,-13.069386666666666,-1.608686666666666,6.440913333333334,,0.0
S3,E08000004,Oldham,1,True,volatility_score,-10.366399637872847,0.022283362127151207,20.41773636212715,,4.127185828793818
S4,E08000004,Oldham,1,True,delta_fi,-1.0182482666666666,0.03308073333333342,0.8801837333333334,copied_from_s0,0.0
S4,E08000004,Oldham,1,True,swing_concentration,1.0,1.0,2.928377333333333,copied_from_s0,1.0
S4,E08000004,Oldham,1,True,turnout_delta,-10.069386666666666,1.391313333333334,11.044413333333335,,3.0
S4,E08000004,Oldham,1,True,volatility_score,-14.493585466666666,-4.104902466666667,16.29055053333333,copied_from_s0,0.0
S5,E08000004,Oldham,1,True,delta_fi,-1.0182482666666666,0.03308073333333342,0.8801837333333334,copied_from_s0,0.0
S5,E08000004,Oldham,1,True,swing_concentration,1.0,1.0,2.928377333333333,copied_from_s0,1.0
S5,E08000004,Oldham,1,True,turnout_delta,-11.106216666666654,-0.39668666666666574,6.440913333333334,copied_from_s0,0.0
S5,E08000004,Oldham,1,True,volatility_score,-14.493585466666666,-4.104902466666667,16.29055053333333,copied_from_s0,0.0
S0,E08000005,Rochdale,1,True,delta_fi,-1.0182482666666666,0.1300747333333334,0.8801837333333334,,0.0
S0,E08000005,Rochdale,1,True,swing_concentration,1.0,1.0,2.928377333333333,,1.0
S0,E08000005,Rochdale,1,True,turnout_delta,-13.069386666666666,-1.608686666666666,8.044413333333335,,0.0
S0,E08000005,Rochdale,1,True,volatility_score,-14.493585466666666,-4.104902466666667,17.483210533333335,,0.0
S1,E08000005,Rochdale,1,True,delta_fi,-1.021992057965972,0.06163994203402792,0.908742942034028,,0.028559208700694505
S1,E08000005,Rochdale,1,True,swing_concentration,2.4543523333333317,3.9167603333333316,5.283925333333332,,3.9999999999999982
S1,E08000005,Rochdale,1,True,turnout_delta,-13.069386666666666,-0.39668666666666574,8.044413333333335,,0.0
S1,E08000005,Rochdale,1,True,volatility_score,-12.479305862316318,-2.090622862316319,18.30483013768368,,2.014279604350348
S2,E08000005,Rochdale,1,True,delta_fi,-1.0797974828266965,0.1008285171733034,0.8509375171733035,,-0.02924621616002998
S2,E08000005,Rochdale,1,True,swing_concentration,2.874724333333334,3.864016333333333,5.928377333333334,,4.0
S2,E08000005,Rochdale,1,True,turnout_delta,-10.888086666666666,-0.39668666666666574,6.440913333333334,,0.0
S2,E08000005,Rochdale,1,True,volatility_score,-12.258087574746684,-1.2880935747466826,17.775927425253315,,1.485376891919985
S3,E08000005,Rochdale,1,True,delta_fi,-0.973624522107513,0.1746984778924869,0.9992044778924868,,0.04462374455915352
